Nombre del vehículo,Velocidad Máxima (Km/h),Aceleración 0 a 100 Km/h (seg),Rango (Km),Carga rápida (Km/h),Europa (€)
Kia EV9 99.8 kWh RWD,185.0,9.4,450.0,850.0,68493.33333333333
MG MG4 Electric XPOWER,200.0,3.8,320.0,560.0,41923.333333333336
Skoda Enyaq 60,160.0,8.7,335.0,450.0,42720.0
Opel Mokka-e 50 kWh,150.0,9.2,260.0,420.0,38086.333333333336
Polestar 4 Long Range Dual Motor,200.0,3.8,465.0,630.0,70330.0
Porsche Macan Turbo Electric,260.0,3.3,480.0,960.0,110200.0
Renault Zoe ZE50 R135,140.0,9.5,310.0,230.0,34676.666666666664
Lancia Ypsilon,150.0,8.5,305.0,470.0,40000.0
Volkswagen ID.7 Tourer Pro,180.0,6.6,460.0,710.0,56928.333333333336
Maxus MIFA 9,180.0,9.2,365.0,420.0,67140.0
Tesla Model X Plaid,262.0,2.8,455.0,630.0,117321.0
Mercedes-Benz EQE 350+,210.0,6.4,530.0,790.0,82028.0
Toyota bZ4X AWD,160.0,6.9,315.0,470.0,54298.333333333336
Audi Q8 e-tron Sportback 55 quattro,200.0,5.6,525.0,660.0,84411.66666666667
BMW i5 M60 xDrive Sedan,230.0,3.8,420.0,670.0,101890.66666666667
Ford Mustang Mach-E ER RWD,180.0,7.0,480.0,420.0,57576.666666666664
Porsche Taycan Plus,230.0,4.8,560.0,1230.0,103740.66666666667
Mini Cooper SE,170.0,6.7,310.0,440.0,36796.666666666664
Smart #3 Brabus,180.0,3.7,330.0,510.0,48961.666666666664
Mercedes-Benz EQS 580 4MATIC,210.0,4.3,590.0,880.0,157765.0
Polestar 4 Long Range Single Motor,180.0,7.4,495.0,670.0,62663.333333333336
Hyundai Kona Electric 48 kWh,160.0,8.8,295.0,280.0,38993.333333333336
Volkswagen ID.7 Tourer Pro S,180.0,7.0,505.0,810.0,60666.666666666664
Mercedes-Benz EQE 300,210.0,7.3,525.0,660.0,68641.66666666667
Porsche Taycan,230.0,4.8,485.0,1070.0,98333.33333333333
Mercedes-Benz EQB 350 4MATIC,160.0,6.2,345.0,500.0,61578.333333333336
Fiat 600e,150.0,9.0,305.0,490.0,35158.333333333336
Ford Mustang Mach-E ER AWD,180.0,5.8,445.0,390.0,66081.66666666667
MG ZS EV Standard Range,175.0,8.6,265.0,250.0,33456.666666666664
Peugeot e-208 50 kWh,150.0,9.0,290.0,460.0,35331.666666666664
Lotus Eletre R,260.0,2.9,455.0,950.0,142461.66666666666
