Nombre del vehículo,Velocidad máxima,Tiempo de 0 a 100 km/h,Rango,Velocidad de carga rápida,Batería utilizable
Cooper SE,170 km/h,6.7 sec,310 km,440 km/h,49
#3 Brabus,180 km/h,3.7 sec,330 km,510 km/h,62
EQS 580 4MATIC,210 km/h,4.3 sec,590 km,880 km/h,108.4
4 Long Range Single Motor,180 km/h,7.4 sec,495 km,670 km/h,94
ID.7 Tourer Pro S,180 km/h,7.0 sec,505 km,810 km/h,86
Kona Electric 48 kWh,160 km/h,8.8 sec,295 km,280 km/h,48.4
EQE 300,210 km/h,7.3 sec,525 km,660 km/h,89
Taycan,230 km/h,4.8 sec,485 km,1070 km/h,82.3
EQB 350 4MATIC,160 km/h,6.2 sec,345 km,500 km/h,66.5
600e,150 km/h,9.0 sec,305 km,490 km/h,50.8
Mustang Mach-E ER AWD,180 km/h,5.8 sec,445 km,390 km/h,91
ZS EV Standard Range,175 km/h,8.6 sec,265 km,250 km/h,49
e-208 50 kWh,150 km/h,9.0 sec,290 km,460 km/h,46.3
Eletre R,260 km/h,2.9 sec,455 km,950 km/h,109
e-5008 73 kWh,170 km/h,9.0 sec,370 km,430 km/h,73
Spring Electric 65 Extreme,125 km/h,13.7 sec,160 km,170 km/h,25
5 E-Tech 40kWh 95hp,140 km/h,10.0 sec,260 km,-,40
e-2008 54 kWh,150 km/h,9.1 sec,300 km,480 km/h,50.8
2 Long Range Dual Motor,205 km/h,4.5 sec,450 km,670 km/h,79
Ocean Sport,160 km/h,7.4 sec,360 km,480 km/h,71
ID.5 Pro,180 km/h,6.7 sec,455 km,680 km/h,77
EX40 Single Motor,180 km/h,7.3 sec,345 km,530 km/h,67
e-308,170 km/h,9.8 sec,300 km,450 km/h,50.8
ID.3 Pro S - 4 Seats,160 km/h,7.9 sec,455 km,680 km/h,77
Leaf e+,157 km/h,6.9 sec,340 km,240 km/h,59
Free 106 kWh,200 km/h,4.4 sec,480 km,360 km/h,100
iX M60,250 km/h,3.8 sec,485 km,650 km/h,105.2
P7 Wing Edition,200 km/h,4.1 sec,455 km,730 km/h,82.7
e-5008 98 kWh Long Range,170 km/h,9.7 sec,490 km,640 km/h,98
e-208 51 kWh,150 km/h,8.2 sec,310 km,480 km/h,48.1
VF 9 Extended Range,200 km/h,6.5 sec,520 km,520 km/h,123
Born VZ,160 km/h,5.7 sec,460 km,690 km/h,79
EX40 Twin Motor,180 km/h,4.8 sec,385 km,570 km/h,79
EV6 Standard Range 2WD,185 km/h,8.5 sec,305 km,750 km/h,54
Taycan Turbo GT,290 km/h,2.3 sec,475 km,1050 km/h,97
Air Touring,250 km/h,3.2 sec,580 km,970 km/h,92
Q8 e-tron 50 quattro,200 km/h,6.0 sec,425 km,660 km/h,89
Marvel R,200 km/h,7.9 sec,365 km,400 km/h,70
Ariya 63kWh,160 km/h,7.5 sec,335 km,450 km/h,63
Tavascan VZ,180 km/h,5.6 sec,430 km,640 km/h,77
ORA 3 48 kWh,160 km/h,8.3 sec,260 km,240 km/h,45.4
I-Pace EV400,200 km/h,4.8 sec,380 km,360 km/h,84.7
e-C4 X,150 km/h,9.7 sec,285 km,460 km/h,46.3
Corsa Electric 50 kWh,150 km/h,8.7 sec,295 km,470 km/h,46.3
Enyaq 85x,180 km/h,6.6 sec,440 km,660 km/h,77
ID.3 GTX,180 km/h,6.0 sec,460 km,690 km/h,79
iX2 eDrive20,170 km/h,8.6 sec,395 km,530 km/h,64.7
SQ6 e-tron,230 km/h,4.3 sec,445 km,890 km/h,94.9
Q4 e-tron 45 quattro,180 km/h,6.6 sec,395 km,590 km/h,77
ID.4 Pro 4MOTION,180 km/h,6.6 sec,425 km,630 km/h,77
3 Long Range Dual motor,210 km/h,5.0 sec,490 km,640 km/h,107
G9 RWD Long Range,200 km/h,6.4 sec,480 km,1120 km/h,93.1
Explorer Standard Range RWD,160 km/h,9.0 sec,280 km,350 km/h,52
ID.4 GTX,180 km/h,5.4 sec,420 km,630 km/h,77
i5 eDrive40 Touring,193 km/h,6.1 sec,455 km,730 km/h,81.2
EC40 Single Motor ER,180 km/h,7.3 sec,420 km,630 km/h,79
ID.4 Pure,160 km/h,9.0 sec,285 km,360 km/h,52
G9 RWD Standard Range,200 km/h,6.4 sec,395 km,830 km/h,75.8
Emeya,250 km/h,4.2 sec,530 km,1230 km/h,100
P7 RWD Long Range,200 km/h,6.7 sec,495 km,800 km/h,82.7
ET7 100 kWh,200 km/h,3.8 sec,505 km,530 km/h,90
U5,150 km/h,7.5 sec,315 km,380 km/h,60
GV60 Premium,185 km/h,7.8 sec,390 km,1020 km/h,74
EQB 300 4MATIC,160 km/h,8.0 sec,345 km,500 km/h,66.5
EX90 Twin Motor,180 km/h,5.9 sec,465 km,610 km/h,107
Korando e-Motion,156 km/h,8.5 sec,290 km,330 km/h,56
EQS 450 4MATIC,210 km/h,5.6 sec,610 km,910 km/h,108.4
Enyaq Coupe RS,180 km/h,5.5 sec,455 km,680 km/h,77
GranTurismo Folgore,320 km/h,2.7 sec,420 km,980 km/h,83
Q4 e-tron 55 quattro,180 km/h,5.4 sec,395 km,590 km/h,77
Taycan 4S Plus,250 km/h,3.7 sec,550 km,1210 km/h,97
Cooper E,160 km/h,7.3 sec,235 km,360 km/h,37
Mustang Mach-E SR RWD,180 km/h,7.3 sec,380 km,460 km/h,72.6
Kangoo E-Tech Electric,132 km/h,12.6 sec,220 km,230 km/h,45
Air Pure RWD,200 km/h,4.7 sec,565 km,940 km/h,92
3,155 km/h,8.9 sec,260 km,240 km/h,51
Astra Sports Tourer Electric,170 km/h,9.3 sec,310 km,500 km/h,50.8
X Long Range RWD,180 km/h,5.6 sec,355 km,590 km/h,64
EQS SUV 450+,210 km/h,6.8 sec,540 km,680 km/h,118
Marvel R Performance,200 km/h,4.9 sec,350 km,380 km/h,70
Spring Electric 65,125 km/h,13.7 sec,160 km,170 km/h,25
i7 eDrive50,205 km/h,5.5 sec,520 km,780 km/h,101.7
E-HS9 84 kWh,200 km/h,6.5 sec,320 km,440 km/h,76.5
Q4 Sportback e-tron 45,180 km/h,6.7 sec,435 km,650 km/h,77
SQ8 e-tron,210 km/h,4.5 sec,455 km,570 km/h,106
ID. Buzz LWB GTX,160 km/h,6.5 sec,355 km,570 km/h,86
Megane E-Tech EV40 130hp,150 km/h,10.0 sec,260 km,370 km/h,40
Scenic E-Tech EV60 170hp,150 km/h,8.6 sec,340 km,400 km/h,60
Taycan Turbo GT Weissach,305 km/h,2.2 sec,475 km,1050 km/h,97
e-2008 50 kWh,150 km/h,9.9 sec,270 km,430 km/h,46.3
Mustang Mach-E GT,200 km/h,3.7 sec,425 km,380 km/h,91
i7 M70 xDrive,250 km/h,3.7 sec,490 km,730 km/h,101.7
ORA 3 63 kWh,160 km/h,8.2 sec,340 km,290 km/h,59.3
#3 Premium,180 km/h,5.8 sec,355 km,550 km/h,62
EL6 100 kWh,200 km/h,4.5 sec,435 km,630 km/h,90
